ebsd_1,ebsd_2,ebsd_3,ebsd_4,ebsd_5,ebsd_6,ebsd_7,ebsd_8,ebsd_9,ebsd_10,ebsd_11,ebsd_12,ebsd_13,ebsd_14
27,27,35,36,36,36,36,41,41,46,42,45,44,37
35,36,41,42,45,43,42,48,49,54,51,53,53,53
37,38,43,44,46,45,44,50,51,57,53,57,56,56
45,46,51,53,59,57,53,57,62,66,63,58,66,65
47,47,53,55,58,55,54,60,60,65,62,65,63,63
52,54,58,60,63,63,60,62,66,68,64,64,64,66
53,289,290,290,290,282,278,268,273,275,265,263,249,248
56,57,61,64,65,64,63,64,67,70,68,70,70,70
75,75,80,80,82,80,80,79,85,90,85,85,85,86
77,76,82,81,84,84,78,75,74,77,74,75,75,75
83,83,88,87,89,88,84,83,89,93,109,97,91,110
91,90,94,94,99,97,92,91,97,104,101,105,98,98
92,94,209,234,354,331,329,316,260,259,249,249,238,238
96,98,102,101,104,102,99,98,104,107,103,107,105,105
117,115,118,119,122,120,115,115,125,126,120,127,122,120
123,122,124,125,129,125,120,119,126,128,121,128,123,121
132,225,226,226,231,218,216,209,213,216,201,202,190,193
135,137,143,140,141,139,135,132,139,145,138,142,138,138
139,146,151,61,73,61,61,69,77,73,72,80,73,72
157,163,164,164,166,162,156,151,156,160,147,152,148,144
189,195,198,197,201,189,189,184,188,190,176,180,170,172
199,13,22,22,22,24,21,28,29,33,31,34,35,35
201,209,212,211,215,204,202,197,203,205,190,193,183,596
212,219,220,220,225,212,211,206,211,214,199,200,191,192
213,220,221,221,227,213,210,205,210,213,196,198,188,187
215,222,223,223,228,215,215,207,215,218,204,203,192,195
228,235,237,236,242,228,228,221,226,229,213,216,204,206
235,243,244,243,248,235,246,241,246,247,233,236,223,226
238,248,249,248,253,240,235,231,234,235,221,223,211,215
239,249,250,249,254,238,236,229,233,236,222,222,212,216
274,286,286,287,286,278,272,264,285,270,258,258,244,246
281,291,291,292,294,143,616,580,582,558,528,527,508,494
286,296,297,297,299,288,282,273,279,278,268,267,252,252
314,327,328,327,326,314,309,299,302,302,285,288,271,272
338,351,352,352,351,332,330,317,320,319,301,302,287,283
341,676,685,370,370,350,351,345,336,322,322,303,302,297
346,358,362,360,358,337,335,321,323,323,306,306,289,286
385,395,398,397,396,376,375,358,360,355,333,333,312,306
398,408,412,411,410,390,389,371,372,365,343,343,323,491
400,414,413,417,412,395,392,374,199,31,33,36,38,36
462,472,476,477,474,452,448,423,424,417,390,392,370,363
463,473,477,478,475,451,446,420,420,414,393,386,369,364
469,481,480,489,483,456,454,427,431,419,398,391,371,367
486,494,497,503,494,472,469,479,40,45,41,44,43,45
526,533,536,541,531,502,501,470,601,674,637,638,475,467
538,545,545,548,545,515,515,487,489,480,454,450,430,420
568,573,577,583,597,541,566,534,537,515,490,483,456,455
593,601,607,613,600,567,569,537,539,520,495,489,470,457
606,614,623,626,615,578,577,545,525,532,483,499,449,439
607,616,625,628,617,580,578,546,547,527,487,494,476,462
639,650,659,664,650,736,741,696,699,673,642,641,621,606
650,660,667,673,661,624,630,591,593,567,538,533,512,499
661,671,680,684,658,634,621,586,588,564,534,529,511,496
666,595,563,689,677,638,563,601,500,579,548,456,522,428
685,692,702,706,696,655,656,621,618,593,563,557,538,524
696,706,713,717,704,666,665,629,623,599,568,562,542,526
707,716,724,727,713,675,674,635,632,608,574,570,555,510
708,717,723,728,714,674,671,633,631,607,577,568,551,533
724,733,738,742,727,688,687,649,646,621,589,583,629,611
734,741,746,751,735,695,697,657,654,631,596,592,572,553
745,755,754,764,747,707,706,667,664,639,602,598,581,559
767,779,783,777,756,715,714,675,673,649,615,606,588,568
768,780,784,789,775,737,742,698,683,658,625,616,597,578
769,781,785,790,776,726,743,693,695,677,654,644,628,610
